Follower Athlete ID,Follow Status,Created At
3924966,Accepted,"Apr 25, 2014, 9:50:49 AM"
2642004,Accepted,"Apr 25, 2014, 10:51:36 AM"
4043998,Accepted,"Apr 25, 2014, 4:01:42 PM"
2594738,Accepted,"May 21, 2014, 2:22:05 PM"
3373999,Accepted,"Jun 6, 2014, 10:10:54 AM"
4993897,Accepted,"Jun 6, 2014, 5:26:54 PM"
544752,Accepted,"Jun 21, 2014, 9:56:27 PM"
1988761,Accepted,"Jul 8, 2014, 3:25:03 PM"
1895609,Accepted,"Aug 12, 2014, 3:48:05 PM"
5795673,Accepted,"Sep 5, 2014, 5:33:23 PM"
6514325,Accepted,"Sep 22, 2014, 3:05:25 PM"
6571283,Accepted,"Oct 3, 2014, 5:01:42 PM"
2581965,Accepted,"Oct 22, 2014, 6:30:42 PM"
7009027,Accepted,"May 8, 2015, 6:33:23 PM"
5895707,Accepted,"Jul 2, 2015, 8:54:20 AM"
10253068,Accepted,"Jul 14, 2015, 3:54:42 PM"
2303179,Accepted,"Jul 15, 2015, 8:31:02 AM"
10362619,Accepted,"Jul 20, 2015, 5:55:38 PM"
8176020,Accepted,"Oct 3, 2015, 8:29:35 AM"
11873529,Accepted,"Oct 23, 2015, 7:32:24 PM"
8549373,Accepted,"Jan 16, 2016, 4:20:26 PM"
2983157,Accepted,"Mar 12, 2016, 8:19:34 AM"
3011199,Accepted,"Mar 13, 2016, 1:45:21 PM"
11331571,Accepted,"Mar 23, 2016, 4:29:16 PM"
13972097,Accepted,"Mar 23, 2016, 10:41:43 PM"
14547089,Accepted,"Apr 13, 2016, 8:41:37 PM"
5839891,Accepted,"Apr 19, 2016, 8:40:05 AM"
11859217,Accepted,"May 5, 2016, 2:11:18 PM"
15008065,Accepted,"May 6, 2016, 4:36:56 PM"
1487465,Accepted,"Jun 3, 2016, 4:19:13 PM"
54073,Accepted,"Jun 15, 2016, 3:10:25 PM"
13107773,Accepted,"Jun 21, 2016, 5:52:39 PM"
2381880,Accepted,"Aug 3, 2016, 6:47:28 PM"
16730224,Accepted,"Aug 4, 2016, 1:23:55 PM"
16789872,Accepted,"Aug 7, 2016, 11:24:55 AM"
12080822,Accepted,"Aug 23, 2016, 12:40:15 PM"
4330216,Accepted,"Aug 28, 2016, 2:50:56 PM"
10024048,Accepted,"Sep 1, 2016, 10:23:37 AM"
17517286,Accepted,"Sep 13, 2016, 9:33:19 AM"
17170372,Accepted,"Sep 14, 2016, 1:43:11 PM"
7946863,Accepted,"Oct 10, 2016, 3:31:53 PM"
9036367,Accepted,"Oct 11, 2016, 7:17:32 AM"
18747094,Accepted,"Dec 5, 2016, 8:23:12 PM"
19965409,Accepted,"Feb 17, 2017, 2:07:04 PM"
7034678,Accepted,"Mar 28, 2017, 6:51:45 PM"
10331550,Accepted,"Mar 30, 2017, 7:51:36 PM"
16933222,Accepted,"Apr 8, 2017, 3:28:57 PM"
21216295,Accepted,"Apr 15, 2017, 7:13:18 PM"
21207394,Accepted,"Apr 15, 2017, 7:28:38 PM"
15073431,Accepted,"Apr 16, 2017, 11:22:54 AM"
21207320,Accepted,"Apr 16, 2017, 2:31:12 PM"
20972077,Accepted,"Apr 18, 2017, 12:20:51 PM"
5466628,Accepted,"Apr 19, 2017, 6:47:59 PM"
4635186,Accepted,"Apr 20, 2017, 8:07:19 PM"
10511519,Accepted,"Apr 20, 2017, 8:46:57 PM"
7931261,Accepted,"Apr 20, 2017, 10:16:30 PM"
5107932,Accepted,"Apr 22, 2017, 5:41:32 PM"
5019620,Accepted,"May 3, 2017, 6:58:08 PM"
1810982,Accepted,"May 3, 2017, 7:18:57 PM"
8162603,Accepted,"May 5, 2017, 7:03:46 AM"
6239076,Accepted,"Jun 4, 2017, 8:17:38 AM"
20599880,Accepted,"Jun 18, 2017, 11:57:26 AM"
22888905,Accepted,"Jun 23, 2017, 7:00:15 PM"
14925283,Accepted,"Jun 23, 2017, 8:05:21 PM"
22912421,Accepted,"Jun 24, 2017, 1:36:52 PM"
22394999,Accepted,"Jun 27, 2017, 7:51:53 PM"
5236703,Accepted,"Jun 28, 2017, 10:14:58 AM"
5253995,Accepted,"Jun 29, 2017, 5:42:29 PM"
10303111,Accepted,"Jun 29, 2017, 5:57:30 PM"
22193770,Accepted,"Jun 30, 2017, 6:21:34 AM"
9300019,Accepted,"Jul 3, 2017, 9:49:03 PM"
4390817,Accepted,"Jul 5, 2017, 2:18:01 PM"
22007261,Accepted,"Jul 6, 2017, 10:13:58 AM"
14693863,Accepted,"Jul 21, 2017, 9:23:15 AM"
6279518,Accepted,"Jul 22, 2017, 4:50:37 AM"
10814600,Accepted,"Jul 27, 2017, 5:27:04 PM"
12030823,Accepted,"Jul 29, 2017, 8:51:19 PM"
24007203,Accepted,"Aug 7, 2017, 11:50:45 AM"
18189047,Accepted,"Aug 20, 2017, 11:45:11 AM"
3370634,Accepted,"Sep 26, 2017, 2:25:57 PM"
25331337,Accepted,"Sep 28, 2017, 6:36:04 AM"
19115835,Accepted,"Sep 28, 2017, 7:24:16 AM"
6445506,Accepted,"Sep 29, 2017, 11:05:20 AM"
25506627,Accepted,"Oct 6, 2017, 1:31:15 PM"
25647711,Accepted,"Oct 14, 2017, 4:21:36 PM"
2497836,Accepted,"Oct 14, 2017, 5:53:52 PM"
2697713,Accepted,"Oct 15, 2017, 10:19:07 AM"
2272967,Accepted,"Oct 15, 2017, 7:31:01 PM"
23931074,Accepted,"Nov 2, 2017, 4:01:13 PM"
19155968,Accepted,"Nov 11, 2017, 4:59:31 PM"
25185460,Accepted,"Apr 17, 2018, 6:31:37 PM"
25096258,Accepted,"Apr 19, 2018, 9:21:10 PM"
24031819,Accepted,"May 5, 2018, 1:51:06 PM"
30582136,Accepted,"May 10, 2018, 11:24:37 AM"
29240484,Accepted,"Jun 4, 2018, 9:53:31 AM"
1308309,Accepted,"Jun 17, 2018, 10:19:45 PM"
29400056,Accepted,"Jul 8, 2018, 3:51:26 PM"
32923572,Accepted,"Jul 21, 2018, 6:59:48 PM"
32859436,Accepted,"Jul 22, 2018, 6:22:26 PM"
30918803,Accepted,"Jul 28, 2018, 9:16:45 PM"
5691199,Accepted,"Jul 29, 2018, 10:14:15 AM"
32980814,Accepted,"Jul 31, 2018, 9:21:43 AM"
31390643,Accepted,"Aug 8, 2018, 6:57:16 PM"
2971315,Accepted,"Aug 11, 2018, 7:07:31 AM"
19126909,Accepted,"Aug 15, 2018, 3:10:36 PM"
19262609,Accepted,"Aug 19, 2018, 3:59:59 PM"
24321795,Accepted,"Aug 24, 2018, 7:37:18 PM"
11123016,Accepted,"Sep 6, 2018, 10:56:40 AM"
5387361,Accepted,"Sep 12, 2018, 2:24:52 PM"
9530665,Accepted,"Sep 16, 2018, 2:07:42 PM"
21943482,Accepted,"Oct 18, 2018, 9:08:40 AM"
34006522,Accepted,"Nov 18, 2018, 4:55:41 PM"
10209432,Accepted,"Dec 28, 2018, 4:03:17 PM"
36942782,Accepted,"Dec 31, 2018, 11:58:36 AM"
20870784,Accepted,"Dec 31, 2018, 12:58:36 PM"
27370490,Accepted,"Dec 31, 2018, 5:24:35 PM"
37929253,Accepted,"Jan 7, 2019, 8:55:08 PM"
4587005,Accepted,"Jan 23, 2019, 4:58:36 PM"
38604591,Accepted,"Jan 25, 2019, 9:17:08 PM"
4919246,Accepted,"Mar 12, 2019, 9:21:38 PM"
21913369,Accepted,"Mar 13, 2019, 11:03:12 PM"
30598999,Accepted,"Mar 14, 2019, 6:58:21 AM"
14132745,Accepted,"Mar 14, 2019, 10:27:39 AM"
11648485,Accepted,"Mar 14, 2019, 9:54:43 PM"
27485528,Accepted,"Mar 16, 2019, 4:27:40 PM"
12618897,Accepted,"Mar 22, 2019, 6:54:59 AM"
6422157,Accepted,"Mar 22, 2019, 10:15:29 PM"
21877070,Accepted,"Apr 1, 2019, 7:50:18 AM"
9968940,Accepted,"Apr 4, 2019, 8:45:53 AM"
11625459,Accepted,"Apr 4, 2019, 9:12:11 AM"
6339917,Accepted,"Apr 11, 2019, 5:07:35 PM"
41167131,Accepted,"Apr 17, 2019, 5:06:35 AM"
40960483,Accepted,"Apr 18, 2019, 9:48:39 AM"
8632104,Accepted,"Apr 25, 2019, 8:45:24 AM"
8164913,Accepted,"May 1, 2019, 8:47:26 PM"
8394860,Accepted,"May 18, 2019, 10:52:06 AM"
22805589,Accepted,"May 22, 2019, 7:18:23 PM"
24003237,Accepted,"Jun 7, 2019, 7:29:46 AM"
5977059,Accepted,"Jun 16, 2019, 7:00:30 PM"
20879011,Accepted,"Jun 17, 2019, 8:28:41 AM"
16005513,Accepted,"Aug 4, 2019, 2:57:28 PM"
16242786,Accepted,"Aug 6, 2019, 9:25:38 PM"
5886816,Accepted,"Aug 7, 2019, 4:14:02 PM"
23637394,Accepted,"Aug 8, 2019, 4:56:13 PM"
43083713,Accepted,"Aug 19, 2019, 7:18:16 PM"
15914908,Accepted,"Aug 30, 2019, 7:38:47 PM"
15450914,Accepted,"Aug 30, 2019, 10:38:30 PM"
19320293,Accepted,"Sep 6, 2019, 8:05:51 AM"
33669336,Accepted,"Sep 6, 2019, 9:15:05 AM"
5027407,Accepted,"Sep 7, 2019, 4:55:27 PM"
17117239,Accepted,"Sep 12, 2019, 5:03:31 PM"
21233779,Accepted,"Sep 12, 2019, 5:59:25 PM"
14671449,Accepted,"Sep 22, 2019, 5:20:20 PM"
18572688,Accepted,"Sep 25, 2019, 7:38:19 PM"
23398947,Accepted,"Sep 28, 2019, 7:22:40 PM"
29159582,Accepted,"Nov 16, 2019, 10:47:18 AM"
48479319,Accepted,"Nov 23, 2019, 2:39:57 PM"
50250201,Accepted,"Jan 20, 2020, 1:34:01 PM"
41910786,Accepted,"Jan 25, 2020, 7:47:17 PM"
26520855,Accepted,"Feb 13, 2020, 7:31:55 AM"
30236945,Accepted,"Feb 14, 2020, 8:28:11 AM"
46900307,Accepted,"Mar 7, 2020, 2:03:50 PM"
899421,Accepted,"Mar 8, 2020, 7:41:26 PM"
33456677,Accepted,"Mar 9, 2020, 4:32:01 PM"
26423081,Accepted,"Mar 9, 2020, 5:02:32 PM"
3222293,Accepted,"Mar 10, 2020, 10:34:25 AM"
4487430,Accepted,"Mar 13, 2020, 5:50:41 AM"
13601029,Accepted,"Mar 17, 2020, 3:13:41 PM"
30600626,Accepted,"Mar 24, 2020, 1:55:01 PM"
14521799,Accepted,"Mar 27, 2020, 6:49:40 AM"
16737542,Accepted,"Mar 27, 2020, 2:28:02 PM"
27652805,Accepted,"Apr 1, 2020, 7:30:31 PM"
31192017,Accepted,"Apr 11, 2020, 9:01:37 PM"
26546631,Accepted,"Apr 13, 2020, 8:56:29 AM"
8217021,Accepted,"Apr 14, 2020, 9:42:22 PM"
10944225,Accepted,"Apr 16, 2020, 6:26:56 AM"
52112554,Accepted,"Apr 18, 2020, 9:16:33 AM"
3076790,Accepted,"Apr 25, 2020, 2:30:41 PM"
7253537,Accepted,"Apr 25, 2020, 6:15:25 PM"
9637210,Accepted,"Apr 29, 2020, 6:13:51 AM"
53263811,Accepted,"May 4, 2020, 8:11:28 PM"
54627691,Accepted,"May 5, 2020, 8:11:22 PM"
25732753,Accepted,"May 7, 2020, 3:17:10 PM"
5840663,Accepted,"May 10, 2020, 6:33:29 AM"
52869200,Accepted,"May 13, 2020, 6:29:55 AM"
52765683,Accepted,"May 13, 2020, 8:57:47 PM"
1720027,Accepted,"May 15, 2020, 12:34:18 PM"
46456398,Accepted,"May 16, 2020, 2:29:25 PM"
10383035,Accepted,"May 16, 2020, 7:28:26 PM"
57459731,Accepted,"May 23, 2020, 8:26:02 AM"
58258694,Accepted,"May 23, 2020, 1:37:47 PM"
16438274,Accepted,"May 30, 2020, 8:48:25 AM"
43566735,Accepted,"May 30, 2020, 2:00:00 PM"
34021898,Accepted,"Jun 1, 2020, 11:26:17 AM"
23420680,Accepted,"Jun 2, 2020, 5:36:09 PM"
55201507,Accepted,"Jun 9, 2020, 6:23:46 AM"
10442379,Accepted,"Jun 10, 2020, 6:54:45 PM"
56283923,Accepted,"Jun 12, 2020, 8:50:23 PM"
53566739,Accepted,"Jun 18, 2020, 3:02:00 PM"
1034450,Accepted,"Jun 19, 2020, 9:45:02 PM"
6611402,Accepted,"Jun 21, 2020, 6:36:45 PM"
60944952,Accepted,"Jul 6, 2020, 3:13:39 PM"
43902888,Accepted,"Jul 7, 2020, 8:18:29 AM"
56629749,Accepted,"Jul 7, 2020, 3:44:16 PM"
3893703,Accepted,"Jul 9, 2020, 5:15:34 PM"
61727667,Accepted,"Jul 10, 2020, 5:15:23 PM"
1039403,Accepted,"Jul 10, 2020, 9:37:23 PM"
32137831,Accepted,"Jul 12, 2020, 4:16:58 PM"
13557728,Accepted,"Jul 14, 2020, 5:13:31 AM"
3768290,Accepted,"Jul 20, 2020, 2:11:06 PM"
26215670,Accepted,"Jul 25, 2020, 8:59:57 PM"
64105381,Accepted,"Jul 26, 2020, 8:46:58 PM"
64839710,Accepted,"Aug 2, 2020, 12:26:09 PM"
14342234,Accepted,"Aug 3, 2020, 11:07:03 AM"
9978642,Accepted,"Aug 3, 2020, 11:44:42 AM"
16685196,Accepted,"Aug 3, 2020, 8:33:20 PM"
53612311,Accepted,"Aug 7, 2020, 8:54:51 PM"
44227136,Accepted,"Aug 7, 2020, 9:12:54 PM"
16631314,Accepted,"Aug 11, 2020, 1:09:09 PM"
28297725,Accepted,"Aug 21, 2020, 10:42:37 AM"
67046340,Accepted,"Aug 26, 2020, 1:11:40 PM"
57082848,Accepted,"Aug 29, 2020, 6:24:54 PM"
57457618,Accepted,"Aug 30, 2020, 4:55:26 PM"
4879807,Accepted,"Sep 5, 2020, 5:52:05 PM"
45895680,Accepted,"Sep 10, 2020, 6:14:51 PM"
45773817,Accepted,"Sep 14, 2020, 4:43:05 PM"
20382271,Accepted,"Sep 19, 2020, 12:54:28 PM"
31953920,Accepted,"Oct 1, 2020, 7:58:11 AM"
10467620,Accepted,"Oct 1, 2020, 9:09:18 AM"
67848773,Accepted,"Oct 11, 2020, 8:01:46 AM"
16322936,Accepted,"Oct 15, 2020, 7:38:58 PM"
31049413,Accepted,"Oct 25, 2020, 4:22:29 PM"
68320422,Accepted,"Oct 27, 2020, 4:25:41 PM"
61834665,Accepted,"Oct 31, 2020, 3:21:20 PM"
71307746,Accepted,"Nov 4, 2020, 6:34:00 AM"
13325206,Accepted,"Nov 23, 2020, 10:06:33 AM"
18183658,Accepted,"Dec 9, 2020, 10:59:33 PM"
31835629,Accepted,"Dec 10, 2020, 8:52:17 AM"
14753859,Accepted,"Dec 10, 2020, 2:00:27 PM"
23954570,Accepted,"Dec 12, 2020, 3:26:57 PM"
43047829,Accepted,"Dec 28, 2020, 3:16:28 PM"
9050101,Accepted,"Jan 1, 2021, 6:31:55 PM"
17283511,Accepted,"Jan 3, 2021, 3:20:27 PM"
25427406,Accepted,"Jan 5, 2021, 7:46:22 AM"
8449273,Accepted,"Jan 9, 2021, 12:17:53 PM"
43166675,Accepted,"Jan 16, 2021, 12:54:54 PM"
71540465,Accepted,"Jan 17, 2021, 7:39:05 AM"
72381459,Accepted,"Jan 19, 2021, 9:19:59 AM"
74285496,Accepted,"Jan 24, 2021, 1:59:21 PM"
64297015,Accepted,"Feb 11, 2021, 6:10:55 AM"
20248290,Accepted,"Feb 16, 2021, 6:07:50 PM"
31833863,Accepted,"Feb 23, 2021, 7:55:57 PM"
30920942,Accepted,"Mar 8, 2021, 9:19:42 AM"
